Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
19/05/24,9:30,12:30,Extern,verslag + deploy,174 en 207,
19/05/24,13:30,15:30,Extern,verslag en nog wat updates,174,
19/05/24,16:30,19:30,Extern,verslag en nog wat updates,174,








